sample_ID,treatment,replicate,plate,well,nFeature_RNA,nCount_RNA
IFNE_group1_plate1_D05,IFNE,group1,plate1,D05,11627,821572
CCL7_group1_plate1_D03,CCL7,group1,plate1,D03,11453,678142
ADIPOQ_group1_plate1_A10,ADIPOQ,group1,plate1,A10,11970,879809
GDF10_group1_plate1_E04,GDF10,group1,plate1,E04,11166,620394
IL15_group1_plate1_A06,IL15,group1,plate1,A06,12436,1098905
WNT7A_group1_plate1_H09,WNT7A,group1,plate1,H09,12535,1044679
CCL5_group1_plate1_C03,CCL5,group1,plate1,C03,11497,693501
LTA_group1_plate1_D12,LTA,group1,plate1,D12,11975,888935
OSM_group1_plate1_E08,OSM,group1,plate1,E08,11101,576279
CCL17_group1_plate1_G11,CCL17,group1,plate1,G11,11860,756436
INHBB_group1_plate1_A08,INHBB,group1,plate1,A08,12728,1309442
CCL20_group1_plate1_H11,CCL20,group1,plate1,H11,12096,839212
IL35_group1_plate1_E07,IL35,group1,plate1,E07,10865,522376
CCL1_group1_plate1_D11,CCL1,group1,plate1,D11,11798,758242
CXCL10_group1_plate1_G03,CXCL10,group1,plate1,G03,11840,755029
CXCL11_group1_plate1_H03,CXCL11,group1,plate1,H03,12486,1042925
IL12_group1_plate1_E01,IL12,group1,plate1,E01,12417,1111176
IL7_group1_plate1_F07,IL7,group1,plate1,F07,11294,601000
IL17C_group1_plate1_E06,IL17C,group1,plate1,E06,10903,528260
IL10_group1_plate1_F05,IL10,group1,plate1,F05,11582,748911
INHBA_group2_plate2_H02,INHBA,group2,plate2,H02,11867,857059
IFNA_group2_plate2_B01,IFNA,group2,plate2,B01,12042,1108318
ADIPOQ_group2_plate2_A09,ADIPOQ,group2,plate2,A09,12874,1571674
IL27_group2_plate2_C02,IL27,group2,plate2,C02,12720,1420004
TNFSF15_group2_plate2_C08,TNFSF15,group2,plate2,C08,12344,1180991
BMP10_group2_plate2_A03,BMP10,group2,plate2,A03,13082,1615735
GDF11_group2_plate2_F10,GDF11,group2,plate2,F10,11615,820511
IL18_group2_plate2_G05,IL18,group2,plate2,G05,11754,837162
IL17A_group2_plate2_C05,IL17A,group2,plate2,C05,11622,817055
GDF15_group2_plate2_G10,GDF15,group2,plate2,G10,10989,594738
CCL3_group2_plate2_A12,CCL3,group2,plate2,A12,12935,1469367
IL25_group2_plate2_B02,IL25,group2,plate2,B02,12052,922695
linker_group2_plate2_G06,linker,group2,plate2,G06,11650,809332
linker_group2_plate2_F06,linker,group2,plate2,F06,12064,1048789
IL1A_group2_plate2_H05,IL1A,group2,plate2,H05,12209,1043062
IL1F5_group2_plate2_C09,IL1F5,group2,plate2,C09,12095,1048378
TNFSF13B_group2_plate2_C06,TNFSF13B,group2,plate2,C06,11352,733522
CCL19_group2_plate2_E03,CCL19,group2,plate2,E03,12349,1176329
IFNE_group2_plate2_D01,IFNE,group2,plate2,D01,11766,1003596
BMP4_group2_plate2_B03,BMP4,group2,plate2,B03,12058,939209
IFNG_group2_plate2_G07,IFNG,group2,plate2,G07,12062,1159410
IL4_group2_plate2_C07,IL4,group2,plate2,C07,12337,1225067
LEP_group2_plate2_G09,LEP,group2,plate2,G09,11798,868810
linker_group2_plate2_H06,linker,group2,plate2,H06,12186,1090345
IFNB1_group2_plate2_C01,IFNB1,group2,plate2,C01,12745,1578986
CCL5_group2_plate2_C12,CCL5,group2,plate2,C12,12401,1113719
CCL2_group2_plate2_F03,CCL2,group2,plate2,F03,11809,800481
IL15_group2_plate2_A05,IL15,group2,plate2,A05,12705,1316653
GDF10_group2_plate2_E10,GDF10,group2,plate2,E10,11504,757320
TSLP_group2_plate2_D08,TSLP,group2,plate2,D08,11896,986890
CXCL9_group2_plate2_D10,CXCL9,group2,plate2,D10,11538,751200
WNT3A_group2_plate2_F08,WNT3A,group2,plate2,F08,10825,592157
CTF1_group2_plate2_F12,CTF1,group2,plate2,F12,12060,1004539
IL1F8_group2_plate2_E09,IL1F8,group2,plate2,E09,12328,1171422
IL1F10_group2_plate2_B09,IL1F10,group2,plate2,B09,11852,856583
GDF2_group2_plate2_H10,GDF2,group2,plate2,H10,12177,1033818
CX3CL1_group2_plate2_C04,CX3CL1,group2,plate2,C04,11697,820697
CXCL16_group2_plate2_C10,CXCL16,group2,plate2,C10,11910,1104969
CXCL11_group2_plate2_H12,CXCL11,group2,plate2,H12,12611,1119147
TNFSF13_group2_plate2_B06,TNFSF13,group2,plate2,B06,12128,1003517
IL17C_group2_plate2_E05,IL17C,group2,plate2,E05,11937,982191
OSM_group2_plate2_E11,OSM,group2,plate2,E11,11459,769316
CXCL13_group2_plate2_B10,CXCL13,group2,plate2,B10,10288,378964
IL13_group2_plate2_H01,IL13,group2,plate2,H01,12171,862079
TNF_group2_plate2_B08,TNF,group2,plate2,B08,12682,1376515
WNT7A_group2_plate2_H08,WNT7A,group2,plate2,H08,11808,837057
IL9_group2_plate2_G02,IL9,group2,plate2,G02,11812,857608
TNFSF8_group2_plate2_F04,TNFSF8,group2,plate2,F04,11424,710365
LTA_group2_plate2_D04,LTA,group2,plate2,D04,11584,832476
IL33_group2_plate2_D02,IL33,group2,plate2,D02,12050,1014761
CCL27_group2_plate2_A04,CCL27,group2,plate2,A04,12869,1461166
LIF_group2_plate2_B11,LIF,group2,plate2,B11,12579,1343381
IL1B_group2_plate2_A07,IL1B,group2,plate2,A07,12450,1221101
CCL4_group2_plate2_B12,CCL4,group2,plate2,B12,12213,1050191
IL6_group2_plate2_D07,IL6,group2,plate2,D07,11835,971831
IL35_group2_plate2_E02,IL35,group2,plate2,E02,11577,805529
PF4_group2_plate2_F11,PF4,group2,plate2,F11,11643,827036
IL1F9_group2_plate2_F09,IL1F9,group2,plate2,F09,12448,1173748
TNFSF14_group2_plate2_D06,TNFSF14,group2,plate2,D06,11348,739756
TGFB1_group2_plate2_H07,TGFB1,group2,plate2,H07,11874,873251
WNT5A_group2_plate2_G08,WNT5A,group2,plate2,G08,12324,1091809
